"PID","L1I_FHR","L2I_FHR"
11712648,0,0
11712692,0.0714285714285714,0.615384615384615
11712910,0,0
11713239,0.0833333333333333,0.230769230769231
11717665,0,0.0666666666666667
11717859,0.0833333333333333,0.357142857142857
11719227,0.0714285714285714,0.4
11722085,0,0
11729527,0,0.0833333333333333
11729613,0.142857142857143,0
11732440,0,0.0666666666666667
11734095,0,0
11741276,0,0
11742381,0.0714285714285714,0.0666666666666667
11742537,0.0714285714285714,0.214285714285714
11748998,0,0
11759499,0,0
11759602,0,0.0769230769230769
11759712,0,0
11759848,0.0714285714285714,0.0714285714285714
11759858,0,0
11763863,0,0.0666666666666667
11764201,0.0769230769230769,0.142857142857143
11768542,0.0714285714285714,0.0769230769230769
11769014,0,0
11769326,0.0714285714285714,0.214285714285714
11769386,0,0
11769867,0.0769230769230769,0.25
11770041,0,0.0714285714285714
11770295,0.142857142857143,0.0666666666666667
11771459,0.0714285714285714,0
11772983,0,0.153846153846154
11774420,0,0
11779065,0.0714285714285714,0.133333333333333
11779289,0,0
11779705,0,0
11779742,0.0769230769230769,0.142857142857143
11779787,0,0
11779934,0,0.0666666666666667
11779950,0.0714285714285714,0.0714285714285714
11780117,0.0714285714285714,0
11785621,0,0.166666666666667
11785976,0.0769230769230769,0.142857142857143
11786280,0,0
11790382,0.0833333333333333,0.0714285714285714
11792298,0.0769230769230769,0
11796916,0,0.166666666666667
11802095,0,0.1
11802245,0,0.230769230769231
11823109,0,0.142857142857143
11823291,0,0.3
11823375,0,0.0833333333333333
11825150,0,0.166666666666667
11836611,0.0666666666666667,0.0714285714285714
11842205,0,0.0909090909090909
11842310,0,0.0714285714285714
11845930,0,0.153846153846154
11847036,0,0.0833333333333333
11847228,0,0
11847267,0,0.0833333333333333
11850303,0.133333333333333,0.166666666666667
11854418,0.133333333333333,0.25
11860919,0,0.0909090909090909
11862669,0,0
11863019,0,0.111111111111111
11865280,0,0.0909090909090909
11873289,0,0
11873430,0,0.0769230769230769
11873493,0.142857142857143,0
11873647,0,0.0833333333333333
11881539,0,0.0833333333333333
11883359,0.357142857142857,0.3
11906119,0,0.0833333333333333
11907760,0,0.272727272727273
11908051,0,0.0714285714285714
11908649,0.0769230769230769,0.0909090909090909
11918013,0,0.2
11918160,0,0
11924823,0,0.0833333333333333
11925007,0,0.0833333333333333
11925094,0.0714285714285714,0.230769230769231
11927034,0,0
11949492,0.0714285714285714,0.3
11949760,0,0.25
11949991,0,0.0833333333333333
11950118,0,0.454545454545455
11950633,0,0
11970740,0,0.2
11977258,0,0.2
11992684,0,0.461538461538462
12012658,0.0714285714285714,0.0909090909090909
12040126,0,0
12040823,0,0.142857142857143
12040865,0.0714285714285714,0
12049000,0,0.214285714285714
12056830,0,0
12065888,0.0714285714285714,0
12072429,0,0.0714285714285714
12086951,0.0769230769230769,0.153846153846154
12087483,0,0.166666666666667
12111306,0.214285714285714,0.785714285714286
12122347,0,0
12122460,0,0
12126155,0,0
12126398,0.142857142857143,0.230769230769231
12126910,0,0.0833333333333333
12128643,0,0.0909090909090909
12134697,0.2,0.461538461538462
12135516,0,0.1
12162402,0,0
