"PID","FHRate_L1-C","FHRate_L1-I","FHRate_L2-C","FHRate_L2-I"
11712648,0.0666666666666667,0,0.0666666666666667,0.266666666666667
11712692,0,0.0666666666666667,0,0.666666666666667
11712910,0,0,0,0.133333333333333
11713239,0,0.133333333333333,0,0.466666666666667
11717665,0,0,0.0666666666666667,0.133333333333333
11717859,0,0.2,0.133333333333333,0.6
11719227,0,0.0666666666666667,0,0.466666666666667
11722085,0,0,0,0.133333333333333
11729527,0,0,0,0.333333333333333
11729613,0.0666666666666667,0.133333333333333,0.0666666666666667,0.0666666666666667
11732440,0,0,0,0.133333333333333
11734095,0,0,0.0666666666666667,0.266666666666667
11741276,0.0666666666666667,0.0666666666666667,0,0.333333333333333
11742381,0,0.0666666666666667,0,0.4
11742537,0,0.0666666666666667,0,0.333333333333333
11748998,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.333333333333333
11759499,0.0666666666666667,0.133333333333333,0.0666666666666667,0.266666666666667
11759602,0,0,0.0666666666666667,0.266666666666667
11759712,0,0,0.0666666666666667,0.2
11759848,0,0.0666666666666667,0,0.2
11759858,0,0,0.0666666666666667,0.266666666666667
11763863,0,0,0,0.2
11764201,0.0666666666666667,0.133333333333333,0.0666666666666667,0.2
11768542,0,0.0666666666666667,0,0.466666666666667
11769014,0,0.0666666666666667,0,0.2
11769326,0,0.0666666666666667,0,0.533333333333333
11769386,0,0,0.133333333333333,0.333333333333333
11769867,0,0.133333333333333,0.0666666666666667,0.666666666666667
11770041,0.0666666666666667,0,0.0666666666666667,0.133333333333333
11770295,0,0.133333333333333,0,0.2
11771459,0,0.0666666666666667,0.0666666666666667,0.2
11772983,0.2,0.2,0,0.133333333333333
11774420,0,0,0.0666666666666667,0.133333333333333
11779065,0,0.0666666666666667,0,0.2
11779289,0,0.0666666666666667,0,0.2
11779705,0,0.0666666666666667,0.0666666666666667,0.0666666666666667
11779742,0,0.2,0,0.333333333333333
11779787,0.0666666666666667,0,0,0.2
11779934,0,0,0,0.2
11779950,0,0.0666666666666667,0,0.133333333333333
11780117,0,0.0666666666666667,0,0.266666666666667
11785621,0.133333333333333,0.266666666666667,0.0666666666666667,0.4
11785976,0,0.0666666666666667,0,0.266666666666667
11786280,0,0,0.0666666666666667,0.333333333333333
11790382,0.0666666666666667,0.133333333333333,0.0666666666666667,0.4
11792298,0,0.2,0,0.266666666666667
11796916,0,0.0666666666666667,0.0666666666666667,0.466666666666667
11802095,0,0.0666666666666667,0,0.4
11802245,0,0.0666666666666667,0,0.533333333333333
11823109,0,0,0,0.333333333333333
11823291,0,0.2,0,0.466666666666667
11823375,0.133333333333333,0.0666666666666667,0,0.266666666666667
11825150,0,0,0,0.266666666666667
11836611,0,0.133333333333333,0,0.333333333333333
11842205,0,0,0,0.4
11842310,0,0.0666666666666667,0,0.133333333333333
11845930,0,0.0666666666666667,0,0.266666666666667
11847036,0,0.133333333333333,0.0666666666666667,0.266666666666667
11847228,0,0,0.0666666666666667,0.333333333333333
11847267,0,0.0666666666666667,0,0.2
11850303,0,0.133333333333333,0,0.466666666666667
11854418,0,0.2,0,0.266666666666667
11860919,0,0.0666666666666667,0,0.333333333333333
11862669,0,0,0.0666666666666667,0.266666666666667
11862858,0,0.117647058823529,0.0666666666666667,0.133333333333333
11863019,0,0,0,0.333333333333333
11865280,0,0.266666666666667,0,0.333333333333333
11873289,0,0,0.2,0.2
11873430,0,0,0,0.2
11873493,0.133333333333333,0.266666666666667,0.0666666666666667,0.0666666666666667
11873647,0,0.133333333333333,0,0.2
11881539,0,0.2,0,0.2
11883359,0.133333333333333,0.466666666666667,0.266666666666667,0.733333333333333
11906119,0,0.0666666666666667,0.0666666666666667,0.0666666666666667
11907760,0.0666666666666667,0.0666666666666667,0,0.266666666666667
11908051,0,0,0,0.2
11908649,0.0666666666666667,0.133333333333333,0.2,0.333333333333333
11918013,0.133333333333333,0.0666666666666667,0.0666666666666667,0.4
11918160,0.0666666666666667,0.133333333333333,0,0.266666666666667
11924823,0,0,0,0.133333333333333
11925007,0,0.0666666666666667,0.0666666666666667,0.266666666666667
11925094,0.0666666666666667,0.2,0,0.4
11927034,0,0,0,0.133333333333333
11949492,0,0.0666666666666667,0.0666666666666667,0.4
11949760,0,0.0666666666666667,0,0.533333333333333
11949991,0,0.133333333333333,0,0.266666666666667
11950118,0,0.133333333333333,0,0.533333333333333
11950633,0,0,0,0.133333333333333
11970740,0,0.2,0,0.4
11977258,0.133333333333333,0.0666666666666667,0.133333333333333,0.4
11992684,0,0.2,0,0.466666666666667
12012658,0.133333333333333,0.0666666666666667,0.0666666666666667,0.466666666666667
12040126,0,0,0,0.2
12040823,0.0666666666666667,0,0,0.2
12040865,0,0.133333333333333,0,0.333333333333333
12049000,0,0.0666666666666667,0,0.333333333333333
12056830,0,0,0,0.2
12065888,0.0666666666666667,0.133333333333333,0,0.0666666666666667
12072429,0.0666666666666667,0,0.0666666666666667,0.0666666666666667
12086951,0,0.0666666666666667,0.133333333333333,0.266666666666667
12087483,0.0666666666666667,0,0.0666666666666667,0.333333333333333
12111306,0.0666666666666667,0.2,0,0.733333333333333
12122347,0,0,0,0.133333333333333
12122460,0.0666666666666667,0,0.0666666666666667,0.0666666666666667
12126155,0,0,0,0.4
12126398,0.0666666666666667,0.2,0.133333333333333,0.266666666666667
12126910,0,0.0666666666666667,0,0.333333333333333
12128643,0.133333333333333,0.0666666666666667,0.2,0.333333333333333
12134697,0,0.266666666666667,0.0666666666666667,0.533333333333333
12135516,0.0666666666666667,0.133333333333333,0.0666666666666667,0.266666666666667
12162402,0,0.2,0.133333333333333,0.133333333333333
